ID,prediction
48786,0.596564504413454
53074,0.40217774357511404
11758,0.5104872761016529
49289,0.9999999888120462
56787,0.5829105887880259
27135,0.32045314682355125
1222,0.34191446496869915
45631,0.41243685813980396
29686,0.39666721098625946
71663,0.9727097760127946
68721,0.9841892645366501
37270,0.5914816817442509
42999,0.9984306977486376
48467,0.999758520150681
4262,0.5801946405847938
37193,0.40953495916361377
71073,0.8599503736981604
56558,0.5131867899026401
45027,0.4016190673981334
50873,0.5071179676568502
28769,0.6391068527103029
2073,0.35187827508442704
23909,0.5843866808476471
28823,0.4882743871141753
67790,0.625761325181954
49280,0.4064036599844639
16050,0.39776804168703267
60387,0.9989770459462046
56952,0.9999983677184683
57836,0.4954389275414782
22336,0.896080162898429
50057,0.369560984231345
24013,0.4102189990628529
62761,0.9999913383107653
33105,0.3160116088509879
71187,0.3807800696803677
64875,0.9996263305466768
38818,0.8847459210843591
23810,0.411509428978314
13104,0.6224568119142689
6189,0.39644354514215346
45980,0.3827093100328978
354,0.5924296548690001
17029,0.5127423681183315
25414,0.6085876079847351
26109,0.5022382713716251
23970,0.3216230681695737
54650,0.5919039404801432
65217,0.518434077641584
72792,0.37768649476903027
41345,0.8940997914293631
52812,0.5155068012360724
4258,0.40958455743468575
14040,0.99911538350553
4515,0.39254025650626845
38851,0.5139241833038645
41855,0.9866029390600254
5193,0.33636466088408923
18821,0.32934065070015056
14537,0.905963470136693
48016,0.9188559287728542
59936,0.33853218559579923
4354,0.5141639290490628
65690,0.6129907010727476
43097,0.4988753657502652
31901,0.9999971595687508
18398,0.520575875913508
68056,0.32440419765328077
15085,0.9996786759511443
8706,0.620539287059591
58770,0.49646813940027607
31822,0.34123871220713486
7764,0.4789687287066846
18924,0.2841438195761372
39433,0.504622777536065
72345,0.35804458822109475
55266,0.5161845061274162
69248,0.4812849306061727
70011,0.49332573814661235
11196,0.41854910426219305
60355,0.5926701108896874
49727,0.5231263537969327
63190,0.5116087574076035
42268,0.4102736921629434
43540,0.4108216377791591
21222,0.3998910683421673
60269,0.8778410639869101
28319,0.6426961855200363
45100,0.9998629622141167
63037,0.39702677004995396
49710,0.3461291648724535
56489,0.6554524268833216
49983,0.9996776360307554
57826,0.49451657632730905
71061,0.4167717152417772
63914,0.8984942952008006
7059,0.5119226262562286
16666,0.38824209073973504
3562,0.9182834963344736
52418,0.48976547510970037
